clean_text,sentiment_num
langsung pakai mantap thanks maaf kasi testi,1
harga murah tp isi lumayan n kuat pesan kmrn hr nyampe thanks toko besi timur jaya tokopedia n wahana,1
ok,1
terimakasih barang sdh terima,1
unit nya sampaithanks,1
barang terima kasih,0
ga nyampe jam dr transaksiudah nyampe rumahmksh,1
goodcepat packing aman,1
barang bagus sesuai skripsi,1
mantap aman gan,1
barang udah nyampe om makasihhhhh,1
recomended,1
barang sesuai kirim cepat ok,1
mantab fast respone tx u,1
barang bagus packing kurir ramah,1
mantapppp banget,1
produk sesuai bagus thanks,1
php bilang isi skripsi pas sen beda mubajir rp isi ga cocok,-1
terima kasih moga manfaat,1
barang sesuai gambar terima kondisi,1
trmksih juragan kerjasamanya,1
keren produk nya mantaps,1
barang sesuai syn gambar,1
barang baguspacking rapipokoknya top bgt,1
ok,1
sesuai yg detail produk,1
barang cepat coba besok coba ya testi thx,1
fast respon barang sesuai gambar,0
barang baguspengiriman cepatrecomended,1
barang dah nyampek trimakasih,1
barang terima sesuai,1
cepet respona sen pagi siang udh sampe,1
mantabcepat kirim pesan pagisiang udah dteng barang jg bagusthx,1
trimsssssss,1
barang bagus kirim cepat,1
terima respon cepat,1
terimakasih gan barang cepat sesuai orde,1
layan muas gan,1
barang tuju cepat gan mkash,1
recsell,1
keren bagus guna,1
barang sesuai gambar packing rapihlah kirim standar harga jangkau terima kasih,1
coba klo ok bintang nya,1
recomended seller moga awet,1
barang oke terima kasih,0
barang bagus fungsi dgn,1
barang,1
barang terima kirim yg cepat terima kasih,1
mantap gun tackernya gan,1
gooooooooooooooooooood,1
seller merespon cepat proses kirim cepat barang dipacking rapi kualitas bnib stapler gun isi jenis ukur,1
sesuai deskripsilumayan kali,0
barang jelek copot tmpat taro isi,-1
barang dah sampecepat rapi respon jual,1
barang terima kondisi bagus test terimakasih,1
produk bagus respon cepat,1
terima kasih seller barang sampaitapi telitimohon d baik lg ya gak tukar no resi dgn yg,0
mantap rekomen seller barang bagus,1
barang sesuai deskripsi kirim cepat thanks,1
delivery cepat packing rapih produk sesuai deskripsi gambar trims ya gan,1
barang langsung coba n lancar jaya thanks seller,1
mantaps brng sesuai cepat responnya,1
barang sesuai gambar respon jual cepat,1
barang terima sesuai spek,1
barang sesuai gambar,1
barang terima thank u,1
terimakasih gan barang,1
barang sudaj gan tks,1
respon cepat kirim cepat tes kualitas barang ok trims,1
terimakasihhhhhhh,1
barang sdh dterima dgn trima kasih,1
barang terima bagus packing rapih makasih layan nya,1
barang bahan kokoh sptnyaudah tes kayunempel kuatuntung dapet bonus isi nyatrims gan,1
packing rapih barang sesuai yg pes,1
mantap ajib top joss,1
kirim amp packaging bagus sesuai foto amp deskripsi staple gun berat dipake,1
oke sesuai pesan,1
makasih ganbarang sesuai,1
barang bagus beli isi toko atk jual nda ya,1
trims yaaa barangx sdh,1
barang sesuai cobamakasih tokopedia,1
packing bagus barang sesuai skripsi,0
mantab fast respon,1
barang coba,1
baguuuus sesuai deskripsi gambar coba sih moga g,1
produk amp kuat,1
beli staples gak jual isi pake ckckck,-1
bagusbanget,1
terimakasih barang,0
puas pis cepet pis,1
barang bagus sesuai deskripsi packing rapi kirim cepat moga sukses gan tks,1
kirim sampe makasih,1
barang sesuai pesan,1
barang sdh dgn cepat sdh coba hasil ok sukses boss,1
sesuai gambar tp blm coba moga memuaskanthanks,1
barang bagus atom gak masuk,0
cepat responnyagood job thanks,1
terima dlm trims,1
terima kasih thank you danke gracias kittos syukron,1
brg sesuai gambar layan oke,1
barang sdh,1
barang terima,1
barang sesuai gambar kemas kirim cepat terima kasih,1
barang sesuai deskripsicuma lambat pengirimansemoga berkah,1
sesuai dgn deskripsi foto cocok yg ajar rekomendasi toko rumah baju belanja komitmen dgn bicara dichat bayar barang langsung proses kirim kirim pos indonesia sesuai kirim yg pilih sy puas layan,1
good product mantab jaya recomended seller,1
produk mantab layan cepat terimakasih,1
barang sesuai deskripsi tolong paking baik kasih lakban biar aman paku cecer mana kotak robek,1
barang sesuai deskripsi bagus moga awet thx,1
packing recommended seller barang sesuai pesan,1
bagus pesan toko,1
mantap gan bagus,1
review utk packaging produk jual packaging rapi pakai double bubble balut karton tebal produk kualitas harga standar kualitas juara tajam ujung mata paku tajam mudah paku tembus tiga jual ramah kali layan puas beli barang ancur parah ekspedisi langsung komplain coba utk diskusi jual hasil muas jual utk kirim ulang bawa barang yg rusak jamin alam pribadi kalo toko berani saing sisi harga recommended seller,1
respon kirim cepat barang oke good seller,1
kirim cepatpacking rapi barang sesuai dgn deskripsi,1
bagus bagus bagusksksnsnjsjjsksmmsms,1
respon kirim cepat barang bagus,1
selamat tujuanbarang fungsi normalisi paket lengkap,1
recomended seller respon cepat packing mantap barang pesan buble wrap josss,1
produk ok,1
kualitas okey makasih gan barang aman sesuai deskripsi,1
mantab joos kendala jg cepat packingnya aman kemas produk mulus top pkoknya sukses,1
barang sesuai deskripsi kirim cepat gak pake barang bagus mantap dahh pokok thanks gan,1
barang sesuai pesan respon kirim cepat good seller,1
barang sesuai posting siip,1
fungsi kirim respon cepat,1
barang sesuai gambar kirim cepat respon seller,1
recommended seller,1
barang bagus respond cepat,1
barang sesuai order respon kirim cepat,1
terima kasih barang nay,1
bagusssssssssssss mksh,1
pas air nailer nya gan thanks recommended seller,1
oke sip dinpake mantap,1
makasih juragan,1
mantab salam ningrat,1
best dah best best jual yg bner best dah,1
barang sesuai pesan packing rapi,1
mantap barng oke dn cepat,1
mkasih bnyak barang sesuai harga miring kualitas baguss sukses ya gan,1
alhamdulillah paket sdh respon layan cepat recommended deh mksh bos,1
barang sesuai pesan kalok tambahin bonus isi staples,1
produk baguscuma isi susahproduk sesuai deskripsi langsung pakai ok mantul moga awet aja terima kasih,1
terima kasih paket terima,0
gan jual isi steples nya,1
barang bagusrespon cepatmaaf ulas lambat,1
barang terima,1
makasih barang dah smpai aman,1
barang packing rapih terimakasih gan,1
alhamdulillah barang nya sdh terima dgn pesan cepat sesuai harap proses kirim mantap,1
paket terima terima kasih layan,1
barang udh nyampe gan tks sukses house sparepart,1
barang bingung guna krn tdk tunjuk pakai tulis bahasa china,1
ngirim barangdiperiksa gan kondisi barang layak gak gitu loh isi karat,-1
item is ok packing and delivery speed are also primathanks,1
trima kasih sdh sy dtrima dgn,1
kirim cepat packing aman tp isi staples karat beli box,0
makasih juragannnnnnnnnnnnn,1
puaasss barang terima,1
terima kasih barang terima,1
paket cepat barang sesuai gambar,1
makasih agan barang cepet sampaiisi mulus recommended seller dehnext order,1
barang ssesuai gambar kirim cepat,1
jugaaa okeeeh,1
barang cepet terima kasih,1
isi yg karat produk sesuai gambar,0
refillnya karat lumayan dah,1
isi steplessnyasdh ya gan yg sdh karat,1
terima kasih barang terima recommended seller,1
barang dah sampe kirim cepat,1
barang dah sy salah tafsir pikir mm utk lebar ya yg thx,0
siiip,1
respon cepat barang sesuai thx gan,1
terima kasih barang terima,1
terima kasih barang kirim lambat sy pesan bayar tgl tgl jakarta to jakarta efek libur nasional jumat sd minggu yah,1
maaf sempet ksh ulas brg udh terima yg mksh yaa,1
barang sesuai gambar slow respon tp ok thx gan,1
sip gan mantap makasih ya,1
produk sesuai order prohex yg kirim,-1
barang oke packing aman proses kirim cepat trims,1
sdh terima thank you,1
barang sdh selamat packing jg rapih,1
okeh sip terima kasih,1
fast respon harga murah good n recomended seller deh,1
barang bagus isi lumayan,1
clear as described recommended selleraaaa,1
produk bagus jual recommended,1
okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
thx gan pesan udh sampe recommended seller,1
terimakasih,1
mantul fast respon kaya vr,1
terima kasih barang terima moga mantap order,1
pas cari barang bagus,1
barang cocok harap,0
terimakasih barang,1
salah beli kecil kualitas lumayan,1
barang sesuai deskripsi,1
mantap laahharga murmer,1
sesuai deskripsi kirim cepat,1
trimaksh brang dgn utuh,1
lumayan cocok harga,1
mantab,1
mantap,1
barang gan langsung ane pakai mbenerin kursi,1
kirim sesuai pesan,1
dah sampe makasih gan,1
recomended sellerthanks gan,1
pesan terima kasih,1
barang terima sesuai pesananthx,1
biar bintang yg bicara,1
ok,1
fast respontbest seller,1
barang bagus sesuai pesan mas thx,1
sesuai pesan n proses cepat tahan y gan,1
brg sdh terima,-1
good seller sukses,1
blom kpake ga ccocok ama pluru nya trnyata,0
moga awet,1
terimakasih,0
terima kasih,1
barang sesuai harga n fungsi,1
pesan sesuai gambar kirim cepat makasih,1
thnks ganbarang sesuai fotomudahhan awet nihblm coba karna blm isi,1
barang sdh coba moga pakai awet thank u seller,1
barang bagus packing rapi,1
barang sesuai gambar barang bagus murah murah,1
barang sdh ditrima berfungsimanteb gan,1
thanksthanksthanksthanks,1
sesuau pesan moga awet thx,1
barang sesuai pesan mantapp,1
bngung isi staples tembak nya ukur nomer ya,1
barang barang ok terima kasih,1
sesuai gambar sesuai kualitas harga,0
alat bagus jalan normal bahan bagus layan ok,1
siiip barang dah nyampai tengkyu,1
mantap aman gan,1
thanks bgt yaa say suka bgt barang nyaa sesuai good quality,1
brg kualitas brg sesuai harga thanks,1
bad responsega tanyasangat silent seller,0
tks,1
respon cepatlain kali respon cepatthanks,0
bagus kirim ok rekomen,1
barang sesuai pesan mantafffffffff,1
super ga ribetcepetga nanya stok gasaya langsung order prosessehari sampe mantap barang murah ga murah joss recommended seller,1
sesuai pesan guna,1
bagus cepat barang nya oke,1
barang sampaiterimakasih next time order,1
makasih ya kirim dah sampe,1
ya lumayan dekorasi moga awet ya,0
harap informasi isi staples yg yg cocok,0
okelahhsesuai dgn deskripsi,1
puas thx,1
produk sesuai deskripsi foto packingpengirimanrapicepat mantap sukses terimakasih,1
cepet bgt nyampe order yg harihari udah sampe,1
produk sesuai deskripsi kirim cepat,1
barang kualitas bagus coba pakai yg harap,1
produk sesuai gambarmantap,1
mantap alatny jepret langsung tancappokokny recommended,1
thanks barang dah sampe,1
original sesuai foto bagus mantap,1
barang bagus sesuaipesanan,1
babut maksud bagus belanja barang sesuai gambar otak,1
asli rapide r respon seller cepat,1
produk sesuai deskripsi,1
cepet abieasssssss gannnnnn,1
cepet sampainyarecomend,1
terima moga awet barang,1
recomemded seller,1
terima kasih,1
kirim cepat packing rapi,1
sesuai maaf konfirmasi fast respon,1
recomsel,1
bagusberfungsi dg,1
barang terima sesuai order,1
respon cepat packing rapi aman makasih yaaa,1
produk cepet bgt sampainyasesuai gambarpenjual ramahtrimakasih sukses,1
kirim cepat barang sesuai deskripsi terima kasih,1
paket mantab langsung pakai hasil muas recomended nih order,1
barang sesuai harap,1
alhamdhulillah pesan k cepat kira kualitas barang oke banget muas,1
barang selamat packing rapih pake buble kirim cepat top,1
barang sesuai deskripsi response seller cepat,1
barang cepat pesan sabtu minggu sesuai harap tks,1
barang kualitas,1
barang baguuuus amp kirim cepat,1
terimakasih,1
lumayan harga segitu bagus,1
kirim cepat barang sesuai pesan,1
good stuff recommended,1
barang lom coba bagus mantap dah,1
barang dtg cepat berkualiras jual respon ok trims,1
barang terima dgn sgb fungsi jg ok,1
barang bagus kokoh,1
bagus gan barang nya kokoh,1
barang sesuai pesananmantab gan,1
brh sdh sampe trims gan,1
kirim cepat kenas,1
good response recomended seller barang bagus,0
barang sesuai pesan berfungsing thanks ya,1
orang counter tukang jok kuli bangun tukang cilok tukang sate driver grab supir go car dll wajib beli kerja jd mudah,1
barang muas gan,1
barang terima baikpengiriman sesuai jadwal mantap jempoool dah,1
goood,1
trimakasih gan barang dah top,1
masang jok gak pake,-1
staples nya sdh tks,1
produk sesuai foto terima kasih gan,1
good proses cepat,1
respon cepat kirim super cepat barang sesuai mantap,1
barang bagusrespon cepattx,1
coba kualitas oke sesuai deskripsi terima kasih,1
baguuuuuuuuuuussssssssssssssss kreeeeeeeeeeen,1
responnya cepet barang coba fungsi,1
cepat mantab makasih,1
cepat kirim ea,1
mantep barang bagus thanks ya,1
seller oke packing oke barang fungsi dg jne nya yg busuk kardus smp isi dalam basah kena hujan kurir kamprett,1
respon cepatbarang sesuai potodan fungsi normal,1
barang bagus terima kasih,1
cepat barang persis contoh,1
barang oke sip recommended seller,1
barang sesuai pesan,1
thanks recomended,1
thanks gan barang sdh sampe isi straplesnya udh patah rejectn sprtinya moga manfaat moga mkin laris lapak makasih,1
barang bagus sesuai gambar amp sesuai harga trims y,1
okey gan makasih barang darat,1
bagussssss,1
barangx sdh sampaipacking barangx bgs bngtmksh gan,1
staples sdh coba fungsi terima kasih seller,1
barang fungsi,1
respon seller kirim cepet banget packing aman rapi kualitas barang gak murah fungsi recommended terima kasih,1
paket sesuai pesan gosend bagus cepat terima kasih,1
terimakasih barang sampepengirimannya cepat kemas rapihtks,1
oke top markotop proses cepat malam bayar siang,1
terima kasih layan barang bagus pasang klem kabel biar cepat brad nail f masuk salam sukses gan,1
udah samapimakasih juragan,1
sesuai bagus terima kasihsukses,1
barang sesuai kirim ckp cepat mksh,1
barang sesuai deskripsi jual responsif kirim cepat akurat terima kasih,1
sesuai deskripsi terima kasih,1
respon proses order cepat barang sesuai gambar pengunaan fungsi,1
brg sdh sapai coba sdh ok,0
trims,1
barang oke sesuai fungsi dgn bagus moga awet thx gan,1
lumayannnnnnnnnnnnnnnnnnnnnnnnnn,1
sesuai pesan mantappppppppppppplllllllpppp,1
terimakasih paket good saller recoment,1
bagus barang sesuai deskripsi seller top thank you,1
paket terima terima kasih,1
thaks,1
barang terima respon jual cepat kirim cepat barang bagus,1
barang dah sampe blum buka mudah bagus,1
cepet bgt proses pngirimannya,1
barang gan trims,1
brg bagus agan na krm barang na gk dpt isi staples na gr salah pabrik yg mn msh segel tp isi staples na gk ad lngsng komplain lwt tokopedia agan na lngsng mnt krm n brg d krm yg sesuai ongkir bulak d tanggung ama agan na thx bgtt gan bnr recomended seller,1
paket selamat barang bagus dapet isi tq,1
selamat fast response thks,1
thank you proses kirim cepat,1
makasihresponnya cepat sekalikemarin sore pesantadi siang barang sampaitks,1
produk bagus bosque,1
kirim nya cepat produk lumayan,1
mantap,1
alus uyy geus nepi deui nuhun mudah awet,1
sipppppp thanks,1
kirim terima kasih sukses,1
respon cepatbarang sesuai gambar jam udah sampemakasih gan,1
barang bagis sesuai skripsi,1
mantap sesuai yg iklan,1
ksiiiiiiiiiiiiiiiiiiiiiioiiiiiooooiiiiiiiiiip,1
mantap fast respon harga sahabat,1
terimakasih barang,1
barang bagus kadang staples ga bagus,0
mantap sesuai pesan moga awet,1
staples nya o k gan,1
fast respon material bagus smoga awet tq gan,1
terimakasih barang sesuai pesan layan respon cepat,1
barangbsudah yujuan cepat parking bagus,1
ooooooooooooooookkkkkkkk,1
bagus sesuai pesan fungsi,1
tooooooooooooooooooop bgt,1
terimakasih barang sdh sy terima sesuai pesan,1
packing ok respon cepat and barang sesuai deskripsi recsel,1
sy ltc lindeteves lbh onlinedpt bebasongkir efisien belanja recommended seller,1
terima sesuai deskripsi barang bagus,1
udh x lbh beli disiniga kecewa bli disinifast responpengiriman cepet rapilanjutkanrecomended bgt,1
terima kasih barang gannn,1
barang bagus cepat recommended,1
puas belanja toko,1
barang selamat,1
barang sesuai respon cepat jempol dehhh,1
puas layan toko tokopedia top seller,1
respon cepatpaket cepat,1
barang sdh sampaifast respons,1
recomended sellerbossss,1
barang nya okey kirim cepatmantappppmakasih yah,1
barang terima kasih,1
pas cocok sesuai gambar deskripsi,1
barang sesuai pesananmksh,1
belanja kali muas respon cepat recommended seller,1
stlh trf lsg kirim wahana pake wahana serang hari recommended,1
packing rapi sellernya ramah produk bagusmakasih gan,1
cpt bgt pake wahana sampe dr jam serang goodd,1
produk sesuai etalase gambar kirim cepat respon pokok nya ok sukses tingkat layan,1
nyoba merek bagus sukses jual,1
cepat,1
mantap gan sesuai pesan kira mantap tap dah thanks gan,1
sesuai pesan,1
thxs gan barang sdh dgn,1
ok pas mantap,1
thanks ya boss moga manfaat,1
joooooooooooooooooooooooosss,1
barang thanks for seller,1
barang udah nyampk sore konfirmasi pulang kerja,1
oke uda terimah barang bagus mantaaap,1
good quality suwun y sukses slalu,1
respon cepat toko yg order mantap,1
barang sesuai deskrepsi bagus,1
produk sesuai foto uji coba hasil muas,1
siiiiiiiiiippppppppppp,1
terima sesuai pesan,1
produk sesuai deskripsi respon cepat checkout langsung kirim recomended seller moga sukses,1
barang dah selamat,1
barang sampairespon seller responsif,1
ok brg sdh packing rapi,1
bagus mantabagak berat,1
terima kasih,1
barang mantap bro,1
respon super cepet jam mnt barang sdh,1
barang terima sesuai gambar cepat respon jual chat cepat balas packing rapi,1
barang sesuai deskripsi,1
kirim lumayan cepat tp pasang isi paku yg beli rb an keluar ya atur biar tipa jepret nya paku sj,1
barang udah darat makasih,1
barang sesuai pesan bagus,1
barang telat terima coba moga bagus barang nya,1
kirim kemarin hambat,0
packing rapih isi beranta moga kualitas ok,1
barang sesuai deskripsi,1
barang sesuai bagus murah mantapp,1
mantap,1
ok susuai pesansan,1
sesuai iklan produk kualitas paking aman kirim cepat,1
terima kasih barang sesuai pesan packing rapih,1
biar bintang yg bicara,1
tanks bos barang dah sesuai harap,1
cukuppppppppppppppp,0
terima barang nya tks,1
trim gan barang,1
oke,1
barang ok sesuai ekspektasi,1
barang sesuai pesan respon n layan cepat,1
topp pesan sesuai,1
barang sdh,1
yoiyoiyoiyoiyoiyoiyoyiyoi,1
terima kasih barang sesuai pesan,1
bagusssss barangnyaaaaa rekomended reseller,1
barang sesuai deskripsi kondisi thank gan,1
terima kasih barang sesuai pesan packing rapih,1
sip,1
tqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq,1
tqqqqqqqstepless pas utk merk krisbow,1
paket terima tks,1
ok gan barang pesan trima kasi,1
makasih gan,1
thanx gan barang d terima,1
bagus kirim cepat terima kasih,1
siiiiiiiiiiiiiiiippp laahh,1
kirim cepat barang dikirm mantep,1
ssuiiiiipppbarang e josss,1
barangxa oke gan paking rapih,1
sesuai harga,1
brg terima thanks,1
wokeeeepengiriman cepatpacking siipgojeke konco dewe mas boshehehehe,1
barang sdh sesuai dgn deskripsi terima isi sdh tdk utuh patah tdk tau sdh larena packingnya aman moga depan tingkat,0
barang sdh thx,1
salah beli mollar pakai,1
bagus sesuai dgn deskripsi,1
barang bagus sesuai deskripsi,1
sesuai order moga cocok dg staplesnys,1
yerima kasih,1
barang nya pungsi mantap pokok nya,1
barang isi sesuai pesan,1
barang sesuai pesan kirim dg cepat,1
terimakasih barang sampe barang nya sesuai best toko,1
biar bintang yg nilai,1
makasih makasih makasih makasih,1
goodfast responthx gan,1
terimakasiihh cobak,1
mantap produk sesuai ekpektasi,1
mantaaaap fast fungsi sesuai etalase deskripsi rekomendasi utk beli,1
sip,1
barang sesuai pesan selamat,1
barang bagusdah selamatmaksh,1
respon cepat kirim cepat barang coba bagus,1
barang sesuai pesan tp isi steples tdk yg deskripsi bs masuk,1
sesuai dgn deskripsinyabaguscepat packaging rapih,1
barang bagus sesuai pesan,1
stapler tembak nya bagus fungsi dg harga mantabs moga awet kirim cepat terima kasih,1
barang bagus muas,1
barang terima,1
barang oke kirim super cepat,1
mantul,1
barang sdh terima packaging rapi fungsi dgn thx,1
barang bagus kirim telat,1
terima kasih barang darat,1
barang sesuai pict pesan pagi bsk udah,1
gooodddd fungsi tq,1
barang sesuai dgn pesan,1
barang oke sesuai iklan order thx,1
top recomended seller,1
barang sdh okesiip,1
barang dah packing rapih terimakasih,1
respon cepat produk kualitas recommended,1
mantap respon cepattks,1
puas order lgsg proses cepat kirim,1
sesuai gambar deskripsi moga tahan,1
barang sesuai ulasanmantap,1
mantaaappp recomend banget,1
respon cpt kirim cepet,1
super respon n kirim super cepat coba moga produk ok,1
mantapssss,1
mantap makasih gannn,1
respon mantap barang manfaat,1
mantab gan,1
barang sesuai,1
terbaiklaaaaaaaaaaaaaaah,1
terima kasih barang fungsi,1
kirim makasih gan,1
sesuai gambar terima kasih gan,1
kirim cepat barang sesuai deskripsi thanks ya,1
bagus hentakan nya kenceng,1
kirim cepat layan mantap toko top,1
barang qulitas bahan tebal cacat recommended,1
produk ok sd coba jalan moga awet,1
produk original kualitas fungsi,1
barang sesuai spesifikasi thanks gan,1
barang sesuai pesan,1
barang sesuai deskripsi kirim cepat,1
barang sesuai pesan blm coba kirim cepat,1
sip,1
mkasih,1
sesuai harapanok bagusmantap cuy,1
fast respond amp kualitas ok,1
bagus layan cepat,1
kwalitas baiksdh cobadan mudah pemakainxthanks,1
barang terima cepat kondisi barang lengkap thanks,1
thanks gan good job next order,1
barang mantap mureeee,1
bos klu beli isi ready,1
barang tes ok,1
brg udah dateng respon cepet kemas rapih tp coba moga awet dah,1
barang pesan kirim cepat blm periksa krn luar rumahterima kasih,1
brng ny sesuai dg postingan n bagus,1
sip barang sesuai dgn deskripsi,1
bagusss,1
ty ganrespon cepat recomended sellersukses gan,1
diterimaaaaaaaaaaaaa,1
pking barang ok agk lmbat pngirnnya,1
barang okedi tes nembaknya kencangmantap,1
pesan sgt cepat bom coba barang bagus kokoh harga murah,1
barang coba hasil bagus moga awet,1
barang sesuai pesan,1
kirim cepat packing rapi,1
barang sesuai deskripsi tes ok recommended seller sukses ganmksh,1
barans sesuai pesan,1
respon cepat produk sesuai deskripsi packing rapi,1
terimakasih kirim cepatdan barang sesuai,1
biar bintang bicara,1
ok mudah staples gun fungsi maksimal trims,1
terimakasih barang,1
ukur mak tulis product mm fakta mm,0
mantaapp goodjobs,1
staples tembak nya fungsi barusan staples sofa hasil nya bagus rapi thank you,1
good product buy it pls,1
barang terima tangan proses kirim cepat kualitas barang ok murah,1
spek sesuwai dgn yg iklan respon cepat repeat order lancar teruss mantab,1
barang bagus coba tp utk ekspedisi wahana baek lamaovel all goodjob,1
barang sesuai deskripsi gambar smoga awet,1
pesan homaster kenmaster kirim isi staples yg kirim cocok utk staples parrahnya isi gak yg jual kota nyesel beli sinu,0
barang sampe fungsi telat aja sampe nya tks gan,1
mantap barang bagus sesuai harap,1
bagusgoooooodddddddd,1
maaf ngasih ulas barang sdh terima dipake benda keras nancap ting oklah,0
packing rapi kuat bagusbarang sesuai coba hasil bagusrecomended skliitop,1
thankkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
barang terima sesuai pesan,1
terima kasih kirim barang cepat kondisi bagus lengkap isi terima kasih cahayabelawa,1
layan oke packingnya oke barang oke bangetmksh boss,1
barang nyampai selamat,1
mantapppppppppppppppppppp,1
sesuai pesan ina kasih,1
steples tembak bagusrecomended,1
makasih barang sesuai gambar,1
barang bagus cepat sampai,1
manfaat terimakasih,1
sippp,1
fungsi baiksukses gan,1
barang dah sya trima dgn slamat gan trims,1
cakeepp,1
sesuai pesan xxxxxxx,1
barang nyampai mantapp,1
baranh terima sukses lapak,1
kirim cepat produk ok terima kasih,1
barang terima terima kasih,1
sesuai pesananpelayanan muas,1
suuuuuuiiiiiiiiiiiiiippppppppppp,1
barang gan fast respond trus barang sesuai deskripsi pokok mantap,1
mantab recomended lanjut,1
barang sesuai deksripsi foto,1
barang bagus kuat sesuai harap,1
barang bagus sesuai deskripsi kirim cepat packing rapih aman mantapp dehhh bintang utk agan,1
makasih barang udah,1
bagus sesuai harap,1
kualitas mantap harga murah kirim cepat terimakasih,1
brg sampe sesuai pesan bonus mksh gan,1
barang respon seller cepat coba berfungai terima kasih gan sukses jual,1
barang terima,1
makasih gan brg dah sampe,1
barang sesuai dgn pesan recommended thx tokopedia cahaya bawa sukses utk,1
tembak nya mantap kali cek gan jual isi ulang staples biar sesuai tembak yg agan kirim isi ulang gx sesuai tembak keluar staples,0
barang ok response cepat,1
barang sesuai yg iklan respons jual cepat bravo,1
terima sip sesuai deskripsi,1
terimakasih barang sdh terima,1
barang terima thanks,1
mantab barang bagustembakan kenceng pakai isi staples model t mm masuk seller fast response kendala follow upnya thx u bossukses,1
sesuai pesan terima kasih gan,1
barang terima kualitas bagus top seller,1
barang kirim via gojek terima kasih respon pelayannnya,1
fisik ok tp coba,0
mantapppp gaaannnn,1
mantab gan thanks,1
dipacking dgn segel selotipbarang pakai fungsi dgn baikmade in china,1
